"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d"," -ESI TIC MRM Frag=166.0V (** -> **) acyl01_40_60.d "
"No integration results available"
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d"," Cer(d18:1/16:0;O): -ESI MRM Frag=166.0V CID@40.0 (612.5 -> 308.3) acyl01_40_60.d "
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"1" ,5.208,5.291,5.374,100.90,392.75,100.00,100.00,100.00,0.166,0.064,45.98,45.88,4.848,5.000,5.360,5.374,45.86,45.83,1.19,146.74,,,  ,308.3,,,,,,,,,,,,

"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d"," Cer(d18:1/16:0;O): -ESI MRM Frag=166.0V CID@50.0 (612.5 -> 308.3) acyl01_40_60.d "
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"1" ,5.249,5.332,5.402,235.59,976.53,100.00,100.00,100.00,0.152,0.068,45.84,45.88,5.111,5.249,5.402,5.415,45.84,45.82,0.92,281.42,,,  ,308.3,,,,,,,,,,,,

"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d"," Cer(d18:1/16:0;O): -ESI MRM Frag=166.0V CID@60.0 (612.5 -> 308.3) acyl01_40_60.d "
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"1" ,5.249,5.318,5.581,146.94,697.07,100.00,100.00,100.00,0.332,0.071,45.91,45.90,4.986,5.249,5.568,5.623,45.91,45.88,1.58,192.84,,,  ,308.3,,,,,,,,,,,,

"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d"," Cer(d18:1/18:0;O): -ESI MRM Frag=166.0V CID@40.0 (640.6 -> 336.3) acyl01_40_60.d "
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"1" ,5.969,6.051,6.121,159.45,635.68,100.00,100.00,57.89,0.152,0.066,45.86,56.60,5.802,5.968,6.107,6.121,45.86,45.88,1.03,205.32,,,  ,336.3,,,,,,,,,,,,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"2" ,6.301,6.370,6.514,119.28,462.48,72.75,74.81,42.11,0.213,0.064,49.22,45.94,6.218,6.231,6.522,6.578,45.91,45.94,1.33,165.20,,,  ,336.3,,,,,,,,,,,,

"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d"," Cer(d18:1/18:0;O): -ESI MRM Frag=166.0V CID@50.0 (640.6 -> 336.3) acyl01_40_60.d "
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"1" ,5.954,6.037,6.170,333.64,1543.00,100.00,100.00,100.00,0.216,0.075,45.68,45.78,5.913,5.954,6.120,6.245,45.68,45.78,1.28,379.36,,,  ,336.3,,,,,,,,,,,,

"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d"," Cer(d18:1/18:0;O): -ESI MRM Frag=166.0V CID@60.0 (640.6 -> 336.3) acyl01_40_60.d "
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"1" ,5.954,6.065,6.134,150.74,763.51,100.00,100.00,100.00,0.180,0.090,45.86,45.89,5.912,5.954,6.134,6.245,45.86,45.89,0.79,196.62,,,  ,336.3,,,,,,,,,,,,

"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d"," Cer(d18:1/20:0;O): -ESI MRM Frag=166.0V CID@40.0 (668.6 -> 364.3) acyl01_40_60.d "
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"1" ,3.141,3.238,3.455,1991.64,8997.44,100.00,100.00,48.69,0.313,0.072,46.02,46.03,3.030,3.141,3.404,3.501,46.02,46.03,0.86,2037.66,,,  ,364.3,,,,,,,,,,,,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"2" ,6.563,6.715,6.923,1032.97,5732.43,63.71,51.87,31.02,0.360,0.088,46.00,46.01,6.327,6.563,6.923,6.937,45.97,46.01,1.01,1078.96,,,  ,364.3,,,,,,,,,,,,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"3" ,6.923,7.033,7.214,136.74,595.13,6.61,6.87,3.22,0.291,0.073,46.01,46.04,6.923,6.937,7.103,7.214,46.01,46.04,0.88,182.76,,,  ,364.3,,,,,,,,,,,,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"4" ,8.128,8.239,8.322,378.14,1541.60,17.13,18.99,8.34,0.194,0.067,46.20,46.13,8.100,8.155,8.322,8.363,46.11,46.13,1.15,424.26,,,  ,364.3,,,,,,,,,,,,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"5" ,8.391,8.488,8.543,409.35,1611.11,17.91,20.55,8.72,0.152,0.062,58.94,46.22,8.322,8.363,8.543,8.557,46.14,46.16,1.01,455.50,,,  ,364.3,,,,,,,,,,,,

"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d"," Cer(d18:1/20:0;O): -ESI MRM Frag=166.0V CID@50.0 (668.6 -> 364.3) acyl01_40_60.d "
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"1" ,3.127,3.224,3.557,126.36,595.05,10.58,11.87,5.51,0.429,0.074,47.82,46.06,2.933,3.113,3.557,3.737,45.99,45.95,1.66,172.34,,,  ,364.3,,,,,,,,,,,,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"2" ,6.604,6.701,6.853,1064.71,5626.01,100.00,100.00,52.11,0.249,0.083,47.22,51.84,6.396,6.521,6.839,6.839,45.91,45.93,1.71,1110.62,,,  ,364.3,,,,,,,,,,,,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"3" ,7.892,8.003,8.141,225.80,1112.49,19.77,21.21,10.30,0.249,0.074,46.06,46.26,7.781,7.823,8.127,8.141,46.06,46.10,1.47,271.88,,,  ,364.3,,,,,,,,,,,,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"4" ,8.141,8.252,8.335,215.37,1238.85,22.02,20.23,11.47,0.194,0.094,46.26,68.06,8.127,8.141,8.321,8.335,46.10,46.12,1.02,261.48,,,  ,364.3,,,,,,,,,,,,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"5" ,8.335,8.474,8.557,423.22,2223.93,39.53,39.75,20.60,0.222,0.077,68.06,60.12,8.321,8.335,8.543,8.557,46.15,46.20,0.59,469.40,,,  ,364.3,,,,,,,,,,,,

"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d"," Cer(d18:1/20:0;O): -ESI MRM Frag=166.0V CID@60.0 (668.6 -> 364.3) acyl01_40_60.d "
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"1" ,6.604,6.714,6.921,947.81,5015.35,100.00,100.00,52.96,0.317,0.079,46.02,46.01,6.465,6.604,6.908,6.936,45.95,46.01,1.18,993.78,,,  ,364.3,,,,,,,,,,,,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"2" ,6.936,7.047,7.158,101.11,513.73,10.24,10.67,5.42,0.222,0.071,46.01,46.06,6.908,6.936,7.227,7.352,46.01,46.05,1.21,147.14,,,  ,364.3,,,,,,,,,,,,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"3" ,8.141,8.238,8.349,389.14,1940.45,38.69,41.06,20.49,0.208,0.077,46.16,62.26,8.086,8.141,8.335,8.349,46.15,46.17,1.41,435.30,,,  ,364.3,,,,,,,,,,,,
"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d" ,"4" ,8.349,8.460,8.568,424.68,2000.91,39.90,44.81,21.13,0.219,0.069,62.26,46.19,8.335,8.349,8.557,8.654,46.17,46.19,0.82,470.86,,,  ,364.3,,,,,,,,,,,,

"D:\MassHunter\Data\20221025 ceramide neg\acyl01_40_60.d"," Cer(d18:1/22:0;O): -ESI MRM Frag=166.0V CID@50.0 (696.6 -> 392.4) acyl01_40_60.d "
